code,name,orgIndex,lat,long,nameIL
967,Abu Juway'ad,0,,,"Abu Juway'ad, Israel"
472,Abu Ghosh,1,31.806293,35.109193,"Abu Ghosh, Israel"
473,Abu Sinan,2,32.95803,35.171969,"Abu Sinan, Israel"
935,Abu Surayhan,3,,,"Abu Surayhan, Israel"
958,Abu 'Abdun,4,31.301397,34.841655,"Abu 'Abdun, Israel"
1042,Abu 'Ammar,5,,,"Abu 'Ammar, Israel"
932,Abu 'Amra,6,31.282188,34.872739,"Abu 'Amra, Israel"
1342,Abu Qureinat,7,31.145681,34.965476,"Abu Qureinat, Israel"
968,Abu Kuraynat,8,,,"Abu Kuraynat, Israel"
966,Abu Rubay'a,9,,,"Abu Rubay'a, Israel"
961,Abu Rukayyek,10,,,"Abu Rukayyek, Israel"
1375,Abu Tulul,11,31.142612,34.913514,"Abu Tulul, Israel"
652,Ibtin,12,32.759963,35.114601,"Ibtin, Israel"
1275,Avtalyon,13,32.835781,35.350442,"Avtalyon, Israel"
679,Avi'el,14,32.531346,34.993493,"Avi'el, Israel"
1115,Avivim,15,33.089381,35.470338,"Avivim, Israel"
819,Avigedor,16,31.711901,34.740369,"Avigedor, Israel"
175,Avihayil,17,32.350708,34.871229,"Avihayil, Israel"
2052,Avital,18,32.557676,35.306412,"Avital, Israel"
1070,Avi'ezer,19,31.681996,35.018821,"Avi'ezer, Israel"
1220,Abbirim,20,33.038086,35.286044,"Abbirim, Israel"
182,Even Yehuda,21,32.2700426,34.8809634,"Even Yehuda, Israel"
1081,Even Menahem,22,33.075143,35.295219,"Even Menahem, Israel"
783,Even Sappir,23,31.7625,35.134991,"Even Sappir, Israel"
400,Even Shemu'el,24,31.576429,34.762963,"Even Shemu'el, Israel"
4011,Avne Etan,25,32.824808,35.765777,"Avne Etan, Israel"
3793,Avne Hefez,26,32.284628,35.074551,"Avne Hefez, Israel"
3786,Avenat,27,31.679039,35.436945,"Avenat, Israel"
1311,Avshalom,28,31.195397,34.3312,"Avshalom, Israel"
3759,Adora,29,31.552219,35.017634,"Adora, Israel"
113,Addirim,30,32.548941,35.271637,"Addirim, Israel"
1068,Adamit,31,33.078842,35.20951,"Adamit, Israel"
1123,Adderet,32,31.659715,34.99444,"Adderet, Israel"
446,Udim,33,32.266865,34.846995,"Udim, Israel"
4010,Odem,34,33.1933716,35.7495651,"Odem, Israel"
1046,Ohad,35,31.238436,34.431893,"Ohad, Israel"
2710,Umm al-Fahm,36,32.517127,35.148529,"Umm al-Fahm, Israel"
2024,Umm Al-Qutuf,37,32.468084,35.059149,"Umm Al-Qutuf, Israel"
1358,Umm Batin,38,31.2767437,34.8829215,"Umm Batin, Israel"
1108,Omen,39,32.564279,35.241941,"Omen, Israel"
680,Omez,40,32.369216,34.993129,"Omez, Israel"
31,Ofaqim,41,31.311337,34.622824,"Ofaqim, Israel"
1294,Or HaGanuz,42,33.005183,35.446736,"Or HaGanuz, Israel"
67,Or HaNer,43,31.556197,34.602305,"Or HaNer, Israel"
2400,Or Yehuda,44,32.029748,34.856173,"Or Yehuda, Israel"
1020,Or Aqiva,45,32.509965,34.920394,"Or Aqiva, Israel"
780,Ora,46,31.752109,35.150165,"Ora, Israel"
2012,Orot,48,31.740364,34.7356,"Orot, Israel"
4013,Ortal,49,33.086236,35.758661,"Ortal, Israel"
403,Urim,50,31.304094,34.524868,"Urim, Israel"
882,Oranim,51,32.711224,35.109579,"Oranim, Israel"
3760,Oranit,52,32.131924,34.99081,"Oranit, Israel"
278,Usha,53,32.796458,35.114584,"Usha, Israel"
565,Azor,54,32.0245041,34.8058575,"Azor, Israel"
1157,Ahawa,140,31.7776829,35.2241978,"Ahawa, Israel"
821,Ahuzzam,141,31.552682,34.770151,"Ahuzzam, Israel"
1330,Ahuzzat Baraq,142,32.643101,35.338893,"Ahuzzat Baraq, Israel"
785,Ahihud,143,32.907405,35.171715,"Ahihud, Israel"
850,Ahituv,144,32.387701,34.990826,"Ahituv, Israel"
804,Ahisamakh,145,31.931906,34.908576,"Ahisamakh, Israel"
797,Ahi'ezer,146,31.981671,34.871821,"Ahi'ezer, Israel"
965,Atrash,147,31.264619,34.948587,"Atrash, Israel"
338,Ibbim,148,31.533597,34.609697,"Ibbim, Israel"
716,Eyal,149,32.210711,34.978259,"Eyal, Israel"
77,Ayyelet HaShahar,150,33.021115,35.576732,"Ayyelet HaShahar, Israel"
294,Elon,151,33.062526,35.219162,"Elon, Israel"
1126,Elot,153,29.580548,34.963023,"Elot, Israel"
49,Ilaniyya,154,32.753908,35.408188,"Ilaniyya, Israel"
2600,Elat,155,29.557669,34.951925,"Elat, Israel"
1336,Irus,156,31.9285746,34.7766539,"Irus, Israel"
3762,Itamar,157,32.173869,35.308029,"Itamar, Israel"
37,Etan,158,31.572213,34.747909,"Etan, Israel"
886,Etanim,159,31.7789,35.095169,"Etanim, Israel"
478,Iksal,160,32.682085,35.320743,"Iksal, Israel"
1339,Al-Azy,161,31.718868,34.814254,"Al-Azy, Israel"
1316,Al-Aryan,162,32.498076,35.125094,"Al-Aryan, Israel"
4003,El-Rom,163,33.180519,35.770095,"El-Rom, Israel"
1359,Al Sayyid,164,31.281719,34.916298,"Al Sayyid, Israel"
1145,Alumma,165,31.652041,34.742872,"Alumma, Israel"
330,Alummot,166,32.706628,35.546088,"Alummot, Israel"
1182,Allon HaGalil,167,32.756874,35.220294,"Allon HaGalil, Israel"
3579,Elon More,168,32.234418,35.331201,"Elon More, Israel"
3604,Allon Shevut,169,31.654871,35.125256,"Allon Shevut, Israel"
429,Allone Abba,170,32.730945,35.172028,"Allone Abba, Israel"
4017,Allone HaBashan,171,33.044087,35.838507,"Allone HaBashan, Israel"
868,Allone Yizhaq,172,32.509997,35.0052,"Allone Yizhaq, Israel"
285,Allonim,173,32.721459,35.143399,"Allonim, Israel"
4002,Eli-Ad,174,32.806583,35.736575,"Eli-Ad, Israel"
1365,Eliav,175,31.530203,34.928414,"Eliav, Israel"
41,Elyakhin,176,32.407659,34.925028,"Elyakhin, Israel"
1248,Elifaz,177,29.796248,35.012094,"Elifaz, Israel"
730,Elifelet,178,32.947834,35.548516,"Elifelet, Israel"
682,Elyaqim,179,32.633345,35.067613,"Elyaqim, Israel"
204,Elyashiv,180,32.380196,34.909945,"Elyashiv, Israel"
841,Elishama,181,32.154778,34.930461,"Elishama, Israel"
1125,Almagor,182,32.912709,35.60231,"Almagor, Israel"
3556,Almog,183,31.790034,35.461968,"Almog, Israel"
1309,El'ad,184,32.04953,34.95075,"El'ad, Israel"
3618,El'azar,185,31.659676,35.143074,"El'azar, Israel"
3750,Alfe Menashe,186,32.170631,35.014858,"Alfe Menashe, Israel"
603,Elqosh,187,33.034294,35.326348,"Elqosh, Israel"
3560,Elqana,188,32.110566,35.032054,"Elqana, Israel"
772,Emunim,189,31.743885,34.674492,"Emunim, Israel"
1064,Amirim,190,32.937351,35.450365,"Amirim, Israel"
1253,Amnun,191,32.904989,35.571136,"Amnun, Israel"
23,Amazya,192,31.531176,34.914463,"Amazya, Israel"
4012,Ani'am,193,32.956638,35.739718,"Ani'am, Israel"
960,Asad,194,32.93445,35.268394,"Asad, Israel"
3754,Asfar,195,31.586152,35.187594,"Asfar, Israel"
529,I'billin,196,32.821799,35.19012,"I'billin, Israel"
963,A'sam,197,40.7102476,-74.2136147,"A'sam, Israel"
959,Afaynish,198,,,"Afaynish, Israel"
4301,Afiq,199,32.779428,35.702994,"Afiq, Israel"
176,Afiqim,200,32.680564,35.57773,"Afiqim, Israel"
313,Afeq,201,32.838316,35.12778,"Afeq, Israel"
3650,Efrat,202,31.653589,35.149934,"Efrat, Israel"
701,Arbel,203,32.8241667,35.4986111,"Arbel, Israel"
3598,Argaman,204,32.17334,35.522285,"Argaman, Israel"
714,Erez,205,31.55984,34.564889,"Erez, Israel"
3570,Ari'el,206,32.104637,35.174514,"Ari'el, Israel"
1324,Arsuf,207,32.212841,34.815977,"Arsuf, Israel"
71,Eshbol,208,31.445516,34.666654,"Eshbol, Israel"
1276,Eshbal,209,32.876984,35.30601,"Eshbal, Israel"
70,Ashdod,210,31.804381,34.655314,"Ashdod, Israel"
199,Ashdot Ya'aqov(Ihud),211,32.65877,35.579637,"Ashdot Ya'aqov(Ihud), Israel"
188,Ashdot Ya'aqov(Me'uhad),212,32.664808,35.582769,"Ashdot Ya'aqov(Me'uhad), Israel"
1188,Eshhar,213,32.885084,35.299622,"Eshhar, Israel"
3722,Eshkolot,214,31.391171,34.904856,"Eshkolot, Israel"
2021,Eshel HaNasi,215,31.326828,34.697497,"Eshel HaNasi, Israel"
1152,Ashalim,216,30.964245,34.699674,"Ashalim, Israel"
7100,Ashqelon,217,31.6687885,34.5742523,"Ashqelon, Israel"
1256,Asherat,218,32.971645,35.1557,"Asherat, Israel"
740,Eshta'ol,219,31.780385,35.010102,"Eshta'ol, Israel"
6000,Baqa Al-Gharbiyye,220,32.422891,35.035764,"Baqa Al-Gharbiyye, Israel"
21,Be'er Ora,221,29.710166,34.987218,"Be'er Ora, Israel"
1376,Be'er Gannim,222,31.700354,34.610934,"Be'er Gannim, Israel"
155,Be'er Toviyya,223,31.737127,34.72557,"Be'er Toviyya, Israel"
2530,Be'er Ya'aqov,224,31.943507,34.83904,"Be'er Ya'aqov, Israel"
1278,Be'er Milka,225,30.934112,34.405643,"Be'er Milka, Israel"
9000,Be'er Sheva,226,31.252973,34.791462,"Be'er Sheva, Israel"
450,Be'erot Yizhaq,227,32.042025,34.910221,"Be'erot Yizhaq, Israel"
697,Be'erotayim,228,32.321039,34.98343,"Be'erotayim, Israel"
399,Be'eri,229,31.424513,34.492567,"Be'eri, Israel"
559,Bustan HaGalil,230,32.948636,35.080688,"Bustan HaGalil, Israel"
482,Bu'eine-Nujeidat,231,32.807711,35.36527,"Bu'eine-Nujeidat, Israel"
4001,Buq'ata,232,33.2026572,35.7767723,"Buq'ata, Israel"
698,Burgeta,233,32.325972,34.963848,"Burgeta, Israel"
2043,Bahan,234,32.351831,35.018542,"Bahan, Israel"
762,Bitha,235,31.333869,34.634318,"Bitha, Israel"
234,Bizzaron,237,31.7949517,34.7293463,"Bizzaron, Israel"
998,Bir El-Maksur,238,32.777291,35.220571,"Bir El-Maksur, Israel"
1348,Bir Hadage,239,31.02316,34.709138,"Bir Hadage, Israel"
368,Biriyya,240,32.978108,35.503096,"Biriyya, Israel"
317,Bet Oren,241,32.731601,35.00632,"Bet Oren, Israel"
3574,Bet El,242,31.9416,35.222734,"Bet El, Israel"
562,Bet El'azari,243,31.844717,34.806627,"Bet El'azari, Israel"
95,Bet Alfa,244,32.516357,35.430499,"Bet Alfa, Israel"
3652,Bet Arye,245,32.040059,35.049472,"Bet Arye, Israel"
1076,Bet Berl,246,32.1997359,34.9260732,"Bet Berl, Israel"
480,Beit Jann,247,32.965655,35.381268,"Beit Jann, Israel"
619,Bet Guvrin,248,31.61288,34.895568,"Bet Guvrin, Israel"
571,Bet Gamli'el,249,31.856128,34.760947,"Bet Gamli'el, Israel"
466,Bet Dagan,250,32.0017816,34.8297087,"Bet Dagan, Israel"
723,Bet HaGaddi,251,31.422839,34.607878,"Bet HaGaddi, Israel"
373,Bet HaLewi,252,32.351596,34.930443,"Bet HaLewi, Israel"
322,Bet Hillel,253,33.208782,35.606515,"Bet Hillel, Israel"
572,Bet HaEmeq,254,32.971014,35.145305,"Bet HaEmeq, Israel"
3645,Bet HaArava,255,31.807762,35.476411,"Bet HaArava, Israel"
242,Bet HaShitta,256,32.550874,35.439351,"Bet HaShitta, Israel"
353,Bet Zeid,257,32.70221,35.131599,"Bet Zeid, Israel"
710,Bet Zayit,258,31.783058,35.161117,"Bet Zayit, Israel"
143,Bet Zera,259,32.689296,35.574062,"Bet Zera, Israel"
3575,Bet Horon,261,31.87989,35.124097,"Bet Horon, Israel"
877,Bet Herut,262,32.376223,34.873765,"Bet Herut, Israel"
2033,Bet Hilqiyya,263,31.793001,34.809698,"Bet Hilqiyya, Israel"
159,Bet Hanan,264,31.935211,34.775596,"Bet Hanan, Israel"
800,Bet Hananya,265,32.529504,34.926734,"Bet Hananya, Israel"
1050,Bet Hashmonay,266,31.890298,34.917599,"Bet Hashmonay, Israel"
288,Bet Yehoshua,267,32.262075,34.865418,"Bet Yehoshua, Israel"
265,Bet Yosef,268,32.558698,35.552773,"Bet Yosef, Israel"
200,Bet Yannay,269,32.381729,34.863507,"Bet Yannay, Israel"
326,Bet Yizhaq-Sh. Hefer,270,32.33558,34.8895,"Bet Yizhaq-Sh. Hefer, Israel"
430,Bet Lehem HaGelilit,271,32.734558,35.191271,"Bet Lehem HaGelilit, Israel"
751,Bet Me'ir,272,31.794786,35.036753,"Bet Me'ir, Israel"
784,Bet Nehemya,273,31.977142,34.953835,"Bet Nehemya, Israel"
16,Bet Nir,274,31.647627,34.873107,"Bet Nir, Israel"
672,Bet Neqofa,275,31.804392,35.126876,"Bet Neqofa, Israel"
202,Bet Oved,276,31.921287,34.774905,"Bet Oved, Israel"
301,Bet Uzzi'el,277,31.87005,34.904858,"Bet Uzzi'el, Israel"
756,Bet Ezra,278,31.736402,34.657514,"Bet Ezra, Israel"
604,Bet Arif,279,31.995352,34.935103,"Bet Arif, Israel"
212,Bet Zevi,280,32.7215394,34.9688805,"Bet Zevi, Israel"
598,Bet Qama,281,31.446566,34.762248,"Bet Qama, Israel"
365,Bet Qeshet,282,32.718446,35.394952,"Bet Qeshet, Israel"
848,Bet Rabban,283,31.817497,34.7289,"Bet Rabban, Israel"
1162,Bet Rimmon,284,32.781845,35.327738,"Bet Rimmon, Israel"
9200,Bet She'an,285,32.497103,35.497336,"Bet She'an, Israel"
2610,Bet Shemesh,286,31.747041,34.988099,"Bet Shemesh, Israel"
248,Bet She'arim,287,32.703757,35.129933,"Bet She'arim, Israel"
747,Bet Shiqma,288,31.637735,34.610074,"Bet Shiqma, Israel"
252,Bitan Aharon,289,32.364928,34.86956,"Bitan Aharon, Israel"
3780,Betar Illit,290,31.7010023,35.1119254,"Betar Illit, Israel"
94,Balfurya,291,32.629988,35.296281,"Balfurya, Israel"
760,Ben Zakkay,292,31.857223,34.727432,"Ben Zakkay, Israel"
712,Ben Ammi,293,33.005369,35.122218,"Ben Ammi, Israel"
1084,Ben Shemen(K.No'ar),294,31.959019,34.927831,"Ben Shemen(K.No'ar), Israel"
2013,Ben Shemen (Moshav),295,31.958896,34.934104,"Ben Shemen (Moshav), Israel"
6100,Bene Beraq,296,32.084932,34.835226,"Bene Beraq, Israel"
1368,Bne Dkalim,297,31.517188,34.917033,"Bne Dkalim, Israel"
592,Bene Darom,298,31.82087,34.691609,"Bene Darom, Israel"
386,Bene Deror,299,32.261795,34.901791,"Bene Deror, Israel"
4015,Bene Yehuda,300,32.798262,35.69107,"Bene Yehuda, Israel"
1363,Bne Netsarim,301,31.143513,34.316403,"Bne Netsarim, Israel"
448,Bene Atarot,302,32.02147,34.910146,"Bene Atarot, Israel"
1066,Bene Ayish,303,31.790235,34.759291,"Bene Ayish, Israel"
418,Bene Ziyyon,304,32.219514,34.868538,"Bene Ziyyon, Israel"
588,Bene Re'em,305,31.769972,34.790463,"Bene Re'em, Israel"
685,Benaya,306,31.843444,34.751793,"Benaya, Israel"
9800,Binyamina-Giv'at Ada,307,32.517078,34.955096,"Binyamina-Giv'at Ada, Israel"
1326,Basma,308,32.529401,35.103199,"Basma, Israel"
944,Basmat Tab'un,309,32.736287,35.1532,"Basmat Tab'un, Israel"
483,Bi'ne,310,32.929538,35.271917,"Bi'ne, Israel"
389,Bazra,311,32.214541,34.878123,"Bazra, Israel"
589,Bezet,312,33.070047,35.132636,"Bezet, Israel"
864,Beqoa,313,31.827899,34.924732,"Beqoa, Israel"
3612,Beqa'ot,314,32.24207,35.452636,"Beqa'ot, Israel"
823,Bar Giyyora,318,31.729683,35.073414,"Bar Giyyora, Israel"
1191,Bar Yohay,319,32.997704,35.44819,"Bar Yohay, Israel"
3744,Brukhin,320,32.082231,35.094113,"Brukhin, Israel"
428,Beror Hayil,321,31.556985,34.646547,"Beror Hayil, Israel"
2060,Berosh,322,31.370721,34.634978,"Berosh, Israel"
3710,Berakha,323,32.049357,34.758355,"Berakha, Israel"
746,Berekhya,324,31.668047,34.624296,"Berekhya, Israel"
667,Bar'am,325,33.058979,35.433235,"Bar'am, Israel"
141,Baraq,326,30.400899,35.113896,"Baraq, Israel"
617,Barqay,327,32.476096,35.031044,"Barqay, Israel"
3654,Barqan,328,32.109487,35.106008,"Barqan, Israel"
2038,Bareqet,329,32.018344,34.943179,"Bareqet, Israel"
1323,Bat Hadar,330,31.648125,34.597146,"Bat Hadar, Israel"
1361,Bat Hen,331,32.360194,34.872388,"Bat Hen, Israel"
1319,Bat Hefer,332,32.333714,35.013729,"Bat Hefer, Israel"
6200,Bat Yam,333,32.013186,34.748019,"Bat Yam, Israel"
3794,Bat Ayin,334,31.657653,35.101101,"Bat Ayin, Israel"
33,Bat Shelomo,335,32.600335,35.003837,"Bat Shelomo, Israel"
1292,Judeide-Maker,337,32.928656,35.150573,"Judeide-Maker, Israel"
485,Julis,338,32.94498,35.184243,"Julis, Israel"
627,Jaljulye,339,32.1524568,34.9539749,"Jaljulye, Israel"
976,Janabib,340,31.287156,35.108132,"Janabib, Israel"
541,Jisr Az-Zarqa,341,32.536262,34.911569,"Jisr Az-Zarqa, Israel"
487,Jish(Gush Halav),342,33.021266,35.447949,"Jish(Gush Halav), Israel"
628,Jatt,343,32.39693,35.035914,"Jatt, Israel"
872,Ge'ule Teman,344,32.391837,34.900989,"Ge'ule Teman, Israel"
379,Ge'ulim,345,32.296487,34.943862,"Ge'ulim, Israel"
853,Ge'alya,347,31.885644,34.765351,"Ge'alya, Israel"
352,Gevulot,348,31.211168,34.466199,"Gevulot, Israel"
424,Gevim,349,31.506273,34.598949,"Gevim, Israel"
86,Geva,350,32.56653,35.37216,"Geva, Israel"
3763,Geva Binyamin,351,31.849999,35.273853,"Geva Binyamin, Israel"
683,Geva Karmel,352,32.662163,34.954078,"Geva Karmel, Israel"
2014,Giv'olim,353,31.397604,34.593821,"Giv'olim, Israel"
3644,Giv'on HaHadasha,354,31.848896,35.159029,"Giv'on HaHadasha, Israel"
1344,Geva'ot Bar,355,31.357209,34.755541,"Geva'ot Bar, Israel"
1293,Giv'at Avni,356,32.775382,35.436154,"Giv'at Avni, Israel"
1288,Giv'at Ela,357,32.722007,35.244822,"Giv'at Ela, Israel"
147,Giv'at Brenner,358,31.86661,34.802254,"Giv'at Brenner, Israel"
870,Giv'at HaShelosha,359,32.09634,34.920628,"Giv'at HaShelosha, Israel"
3730,Giv'at Ze'ev,360,31.861189,35.167252,"Giv'at Ze'ev, Israel"
207,Giv'at Hen,361,32.16758,34.875514,"Giv'at Hen, Israel"
2018,Giv'at Hayyim (Ihud),363,32.396745,34.932978,"Giv'at Hayyim (Ihud), Israel"
173,Giv'at Hayyim(Me'uhad),364,32.392148,34.929447,"Giv'at Hayyim(Me'uhad), Israel"
4021,Giv'at Yo'av,365,32.801217,35.680911,"Giv'at Yo'av, Israel"
787,Giv'at Ye'arim,366,31.786089,35.09277,"Giv'at Ye'arim, Israel"
919,Giv'at Yesha'yahu,367,31.67168,34.943738,"Giv'at Yesha'yahu, Israel"
802,Giv'at Koah,368,32.032091,34.938796,"Giv'at Koah, Israel"
360,Giv'at Nili,369,32.549043,35.041194,"Giv'at Nili, Israel"
703,Giv'at Oz,370,32.555934,35.198004,"Giv'at Oz, Israel"
681,Giv'at Shemu'el,371,32.077299,34.849206,"Giv'at Shemu'el, Israel"
566,Giv'at Shemesh,372,31.774189,34.95055,"Giv'at Shemesh, Israel"
1077,Giv'at Shappira,373,32.35763,34.875845,"Giv'at Shappira, Israel"
793,Giv'ati,374,31.733138,34.679478,"Giv'ati, Israel"
6300,Giv'atayim,375,32.072176,34.808871,"Giv'atayim, Israel"
342,Gevar'am,376,33.058979,35.433235,"Gevar'am, Israel"
133,Gevat,377,32.67656,35.213151,"Gevat, Israel"
35,Gadot,378,33.018208,35.619547,"Gadot, Israel"
145,Gadish,379,32.558844,35.24443,"Gadish, Israel"
442,Gid'ona,380,32.549927,35.359202,"Gid'ona, Israel"
2550,Gedera,381,31.8123014,34.7770192,"Gedera, Israel"
852,Gonen,385,33.1240353,35.6461519,"Gonen, Israel"
755,Goren,386,33.055566,35.233619,"Goren, Israel"
1219,Gornot HaGalil,387,33.059286,35.24967,"Gornot HaGalil, Israel"
457,Gazit,388,32.639307,35.446239,"Gazit, Israel"
370,Gezer,389,31.876349,34.92111,"Gezer, Israel"
706,Ge'a,390,31.628467,34.602678,"Ge'a, Israel"
196,Gibbeton,391,31.888318,34.79906,"Gibbeton, Israel"
1043,Gizo,392,31.805585,34.939653,"Gizo, Israel"
1204,Gilon,393,32.904338,35.232191,"Gilon, Israel"
736,Gilat,394,31.326321,34.648934,"Gilat, Israel"
262,Ginnosar,395,32.848666,35.523152,"Ginnosar, Israel"
92,Ginnegar,396,32.663419,35.259861,"Ginnegar, Israel"
863,Ginnaton,397,31.962801,34.913062,"Ginnaton, Israel"
1206,Gitta,398,32.967233,35.249125,"Gitta, Israel"
3613,Gittit,399,32.100273,35.395443,"Gittit, Israel"
393,Gal'on,400,31.633371,34.848898,"Gal'on, Israel"
3606,Gilgal,401,32.0747282,34.7672321,"Gilgal, Israel"
346,Gelil Yam,402,32.158797,34.831876,"Gelil Yam, Israel"
369,Gal'ed (Even Yizhaq),411,32.558075,35.076559,"Gal'ed (Even Yizhaq), Israel"
745,Gimzo,413,31.927217,34.941128,"Gimzo, Israel"
1072,Gan HaDarom,414,31.804056,34.69987,"Gan HaDarom, Israel"
225,Gan HaShomeron,415,32.465007,34.999047,"Gan HaShomeron, Israel"
239,Gan Hayyim,416,32.195761,34.906957,"Gan Hayyim, Israel"
734,Gan Yoshiyya,417,32.349487,34.996245,"Gan Yoshiyya, Israel"
166,Gan Yavne,418,31.783056,34.703101,"Gan Yavne, Israel"
1274,Gan Ner,419,32.528706,35.336254,"Gan Ner, Israel"
311,Gan Soreq,420,31.944011,34.758322,"Gan Soreq, Israel"
144,Gan Shelomo,421,31.878777,34.798901,"Gan Shelomo, Israel"
72,Gan Shemu'el,422,32.452911,34.949311,"Gan Shemu'el, Israel"
836,Gannot,423,32.018204,34.825877,"Gannot, Israel"
549,Gannot Hadar,424,32.32174,34.900715,"Gannot Hadar, Israel"
1103,Ganne Hadar,425,31.8782413,34.857588,"Ganne Hadar, Israel"
